time,alt,bias_x,bias_y,dop,h_acc,height,lat,lon,time_acc,v_acc,vel_acc,vel_h,vel_x,vel_y,vel_z,x,y,yaw,yaw_acc,z
1532706803.559165,33442.857142857145,-1.3738973724069403,1.5579275172025968,1.18,608.0,79.5067142857143,49.40207998571428,2.7948922142857144,2e-09,822.1428571428571,0.07328571428571429,0.014142857142857145,0.008,0.005857142857142858,0.005999999999999999,-280.3841743616484,323.03370726580874,0.6818387031645142,0.7042914913267955,5.97067564477626
1532706803.640853,33443.71428571428,-1.3738973724069403,1.5579275172025968,1.18,608.0,79.50742857142858,49.40207997142857,2.7948922285714284,2e-09,822.2857142857143,0.07357142857142857,0.015285714285714288,0.008,0.001714285714285715,0.0019999999999999983,-280.3831375902161,323.0321184074415,0.6818387031645142,0.7042925385243466,5.971390056399562
1532706803.7197962,33444.57142857143,-1.3738973724069403,1.5579275172025968,1.18,608.0,79.50814285714287,49.40207995714285,2.7948922428571428,2e-09,822.4285714285714,0.07385714285714286,0.01642857142857143,0.008,-0.0024285714285714275,-0.0020000000000000035,-280.38210081878384,323.03052954907423,0.6818387031645142,0.7042935857218978,5.972104468022865
1532706803.798836,33445.42857142857,-1.3738973724069403,1.5579275172025968,1.18,608.0,79.50885714285715,49.40207994285714,2.794892257142857,2e-09,822.5714285714286,0.07414285714285714,0.01757142857142857,0.008,-0.00657142857142857,-0.006000000000000004,-280.38106404735163,323.02894069070703,0.6818387031645142,0.704294632919449,5.972818879646167
1532706803.88025,33446.28571428572,-1.3738973724069403,1.5579275172025968,1.18,608.0,79.50957142857145,49.402079928571425,2.7948922714285716,2e-09,822.7142857142857,0.07442857142857143,0.018714285714285718,0.008,-0.010714285714285713,-0.010000000000000004,-280.38002727591936,323.0273518323398,0.6818387031645142,0.7042956801170003,5.97353329126947
1532706803.9591,33447.142857142855,-1.3738973724069403,1.5579275172025968,1.18,608.0,79.51028571428573,49.402079914285714,2.7948922857142855,2e-09,822.8571428571429,0.0747142857142857,0.019857142857142858,0.008,-0.014857142857142855,-0.014000000000000007,-280.3789905044871,323.0257629739725,0.6818387031645142,0.7042967273145514,5.974247702892772
1532706804.038834,33447.57142857143,-1.3738973724069403,1.5579275172025968,1.18,608.1428571428571,79.5107142857143,49.4020799,2.7948923142857143,2e-09,823.0,0.07985714285714285,0.018714285714285715,0.006142857142857143,-0.016428571428571428,-0.013714285714285717,-280.3769168364104,323.02417404800786,0.6818387031645142,0.7042992954418794,5.9746764456598465
1532706804.1203241,33447.142857142855,-1.3738973724069403,1.5579275172025968,1.18,608.2857142857143,79.51042857142859,49.4020799,2.794892328571428,2e-09,823.0,0.08471428571428571,0.01642857142857143,0.004285714285714285,-0.013857142857142856,-0.00942857142857143,-280.3758799397659,323.0241739804105,0.6818387031645142,0.7043008163716561,5.974390776803618
1532706804.199264,33446.71428571428,-1.3738973724069403,1.5579275172025968,1.18,608.4285714285714,79.51014285714287,49.4020799,2.7948923428571426,2e-09,823.0,0.08957142857142857,0.014142857142857145,0.0024285714285714284,-0.011285714285714286,-0.0051428571428571435,-280.3748430431215,323.0241739128131,0.6818387031645142,0.7043023373014329,5.97410510794739
1532706804.281601,33446.28571428572,-1.3738973724069403,1.5579275172025968,1.18,608.5714285714286,79.50985714285716,49.4020799,2.794892357142857,2e-09,823.0,0.09442857142857143,0.011857142857142858,0.0005714285714285708,-0.008714285714285714,-0.0008571428571428584,-280.3738061464771,323.0241738452158,0.6818387031645142,0.7043038582312096,5.973819439091162
1532706804.358588,33445.857142857145,-1.3738973724069403,1.5579275172025968,1.18,608.7142857142857,79.50957142857143,49.4020799,2.7948923714285714,2e-09,823.0,0.09928571428571428,0.009571428571428571,-0.0012857142857142859,-0.006142857142857143,0.0034285714285714267,-280.37276924983263,323.0241737776184,0.6818387031645142,0.7043053791609863,5.973533770234934
1532706804.439835,33445.42857142857,-1.3738973724069403,1.5579275172025968,1.18,608.8571428571429,79.50928571428572,49.4020799,2.7948923857142853,2e-09,823.0,0.10414285714285715,0.007285714285714286,-0.0031428571428571434,-0.0035714285714285726,0.007714285714285715,-280.3717323531882,323.02417371002105,0.6818387031645142,0.704306900090763,5.973248101378706
1532706804.5208519,33448.375,-1.3738973724069403,1.5579275172025968,1.18,609.0,79.512375,49.402079887499994,2.7948924125,2e-09,823.125,0.111875,0.005625,-0.00525,0.0001250000000000001,0.00825,-280.3697884021759,323.022783530741,0.6818387031645142,0.7043100136334822,5.9763375428624945
1532706804.600174,33451.75,-1.3738973724069403,1.5579275172025968,1.18,609.0,79.51575,49.402079875,2.7948924249999996,2e-09,823.25,0.11475,0.00625,-0.0055,0.0012500000000000002,0.0045,-280.36888134780804,323.0213934190583,0.6818387031645142,0.7043116062464247,5.979712653202511
1532706804.679388,33455.125,-1.3738973724069403,1.5579275172025968,1.18,609.0,79.519125,49.402079862499995,2.7948924374999997,2e-09,823.375,0.11762500000000001,0.006875,-0.00575,0.0023750000000000004,0.0007499999999999989,-280.36797429344017,323.0200033073756,0.6818387031645142,0.7043131988593672,5.983087763542527
1532706804.760712,33458.5,-1.3738973724069403,1.5579275172025968,1.18,609.0,79.52250000000001,49.40207984999999,2.79489245,2e-09,823.5,0.1205,0.0075,-0.006,0.0035000000000000005,-0.003000000000000001,-280.36706723907236,323.0186131956929,0.6818387031645142,0.7043147914723096,5.9864628738825445
