time,alt,bias_x,bias_y,dop,h_acc,height,lat,lon,time_acc,v_acc,vel_acc,vel_h,vel_x,vel_y,vel_z,x,y,yaw,yaw_acc,z
1532706803.559165,32092.14285714286,-1.0726982107795393,1.6574142505177811,1.24,680.8571428571429,78.15528571428571,49.402127285714286,2.7949512285714286,3.0000000000000004e-09,995.0,0.08014285714285714,0.03957142857142857,-0.01757142857142857,-0.022571428571428572,0.016714285714285713,-276.10048252566037,328.29407441885445,0.7989293520223099,0.176773329560393,4.61916474527266
1532706803.640853,32095.285714285714,-1.0726982107795393,1.6574142505177811,1.24,680.7142857142857,78.15857142857143,49.40212727142857,2.7949512571428574,3.0000000000000004e-09,995.0,0.08228571428571428,0.039142857142857146,-0.012142857142857143,-0.013142857142857144,0.01842857142857143,-276.0984089819181,328.29248564230966,0.7989293520223099,0.17677849074832389,4.6224506309053845
1532706803.7197962,32098.428571428572,-1.0726982107795393,1.6574142505177811,1.24,680.5714285714286,78.16185714285714,49.40212725714286,2.7949512857142857,3.0000000000000004e-09,995.0,0.08442857142857144,0.038714285714285715,-0.006714285714285714,-0.003714285714285715,0.020142857142857143,-276.0963354381758,328.29089686576486,0.7989293520223099,0.17678365193625478,4.62573651653811
1532706803.798836,32101.571428571428,-1.0726982107795393,1.6574142505177811,1.24,680.4285714285714,78.16514285714285,49.40212724285714,2.7949513142857145,3.0000000000000004e-09,995.0,0.08657142857142858,0.03828571428571429,-0.0012857142857142859,0.005714285714285713,0.02185714285714286,-276.09426189443354,328.28930808922,0.7989293520223099,0.1767888131241857,4.629022402170834
1532706803.88025,32104.714285714286,-1.0726982107795393,1.6574142505177811,1.24,680.2857142857143,78.16842857142856,49.40212722857143,2.794951342857143,3.0000000000000004e-09,995.0,0.08871428571428572,0.03785714285714286,0.004142857142857143,0.015142857142857138,0.023571428571428573,-276.09218835069123,328.2877193126752,0.7989293520223099,0.1767939743121166,4.63230828780356
1532706803.9591,32107.85714285714,-1.0726982107795393,1.6574142505177811,1.24,680.1428571428571,78.17171428571429,49.40212721428571,2.7949513714285716,3.0000000000000004e-09,995.0,0.09085714285714286,0.037428571428571436,0.009571428571428571,0.02457142857142857,0.025285714285714286,-276.090114806949,328.28613053613043,0.7989293520223099,0.1767991355000475,4.635594173436284
1532706804.038834,32113.571428571428,-1.0726982107795393,1.6574142505177811,1.24,679.8571428571429,78.17742857142858,49.402127185714285,2.7949514142857144,3.0000000000000004e-09,995.0,0.09328571428571429,0.034,0.011714285714285714,0.027142857142857146,0.024571428571428574,-276.0870045653122,328.2829529914803,0.7989293520223099,0.17680953267573438,4.641308757080416
1532706804.1203241,32116.14285714286,-1.0726982107795393,1.6574142505177811,1.24,679.7142857142857,78.17985714285714,49.402127171428575,2.7949514285714283,3.0000000000000004e-09,995.0,0.09357142857142857,0.031000000000000003,0.008428571428571428,0.02028571428571429,0.022142857142857145,-276.0859678674177,328.2813642233749,0.7989293520223099,0.17681476866349036,4.643737455091822
1532706804.199264,32118.714285714286,-1.0726982107795393,1.6574142505177811,1.24,679.5714285714286,78.18228571428573,49.40212715714286,2.7949514428571427,3.0000000000000004e-09,995.0,0.09385714285714286,0.028000000000000004,0.0051428571428571435,0.013428571428571429,0.01971428571428572,-276.08493116952326,328.27977545526954,0.7989293520223099,0.17682000465124634,4.646166153103228
1532706804.281601,32121.285714285714,-1.0726982107795393,1.6574142505177811,1.24,679.4285714285714,78.18471428571429,49.40212714285715,2.794951457142857,3.0000000000000004e-09,995.0,0.09414285714285714,0.025,0.0018571428571428576,0.006571428571428572,0.017285714285714286,-276.0838944716288,328.27818668716424,0.7989293520223099,0.17682524063900232,4.648594851114633
1532706804.358588,32123.85714285714,-1.0726982107795393,1.6574142505177811,1.24,679.2857142857143,78.18714285714287,49.40212712857143,2.7949514714285715,3.0000000000000004e-09,995.0,0.09442857142857143,0.022000000000000002,-0.0014285714285714284,-0.000285714285714285,0.014857142857142859,-276.08285777373436,328.2765979190589,0.7989293520223099,0.1768304766267583,4.651023549126039
1532706804.439835,32126.428571428572,-1.0726982107795393,1.6574142505177811,1.24,679.1428571428571,78.18957142857144,49.40212711428572,2.7949514857142854,3.0000000000000004e-09,995.0,0.09471428571428571,0.019000000000000003,-0.0047142857142857125,-0.007142857142857145,0.012428571428571431,-276.08182107583985,328.2750091509535,0.7989293520223099,0.17683571261451428,4.653452247137445
1532706804.5208519,32133.125,-1.0726982107795393,1.6574142505177811,1.2325,679.0,78.19625000000002,49.4021270875,2.7949515375,3.0000000000000004e-09,995.0,0.097875,0.017125,-0.004,-0.013375,0.010375,-276.07806281399525,328.27203022834533,0.7989293520223099,0.1768466863721862,4.660131134490069
1532706804.600174,32137.25,-1.0726982107795393,1.6574142505177811,1.225,679.0,78.20050000000002,49.402127075,2.794951575,3.0000000000000004e-09,995.0,0.10075,0.018250000000000002,0.0,-0.012750000000000001,0.010750000000000001,-276.0753412500451,328.2706400738425,0.7989293520223099,0.17685242414210212,4.664381323831286
1532706804.679388,32141.375,-1.0726982107795393,1.6574142505177811,1.2175,679.0,78.20475000000002,49.4021270625,2.7949516125,3.0000000000000004e-09,995.0,0.10362500000000001,0.019375,0.004,-0.012125,0.011125000000000001,-276.0726196860949,328.26924991933976,0.7989293520223099,0.17685816191201806,4.668631513172503
